nodes time label
3 0.306 kill_half_et250
3 0.316 kill_half_et250
3 0.41 kill_half_et250
3 0.412 kill_half_et250
3 0.414 kill_half_et250
3 0.309 kill_half_et250
3 0.413 kill_half_et250
5 0.416 kill_half_et250
5 0.417 kill_half_et250
5 0.516 kill_half_et250
5 0.516 kill_half_et250
5 0.52 kill_half_et250
5 0.415 kill_half_et250
5 0.514 kill_half_et250
7 0.515 kill_half_et250
7 0.518 kill_half_et250
7 0.516 kill_half_et250
7 0.413 kill_half_et250
7 0.514 kill_half_et250
7 0.517 kill_half_et250
7 0.621 kill_half_et250
9 0.527 kill_half_et250
9 0.827 kill_half_et250
9 0.517 kill_half_et250
9 0.522 kill_half_et250
9 0.623 kill_half_et250
9 0.519 kill_half_et250
9 0.52 kill_half_et250
11 0.638 kill_half_et250
11 0.626 kill_half_et250
11 0.519 kill_half_et250
11 0.626 kill_half_et250
11 0.842 kill_half_et250
11 0.624 kill_half_et250
11 0.523 kill_half_et250
13 0.688 kill_half_et250
13 0.527 kill_half_et250
13 0.65 kill_half_et250
13 0.646 kill_half_et250
13 0.627 kill_half_et250
13 0.53 kill_half_et250
13 0.63 kill_half_et250
15 0.999 kill_half_et250
15 0.742 kill_half_et250
15 0.736 kill_half_et250
15 0.753 kill_half_et250
15 0.647 kill_half_et250
15 0.631 kill_half_et250
15 0.676 kill_half_et250
17 0.753 kill_half_et250
17 0.672 kill_half_et250
17 0.755 kill_half_et250
17 0.756 kill_half_et250
17 0.753 kill_half_et250
17 1.087 kill_half_et250
17 0.775 kill_half_et250
19 0.789 kill_half_et250
19 0.853 kill_half_et250
19 0.891 kill_half_et250
19 0.752 kill_half_et250
19 0.766 kill_half_et250
19 0.855 kill_half_et250
19 0.762 kill_half_et250
21 0.878 kill_half_et250
21 0.789 kill_half_et250
21 1.447 kill_half_et250
21 0.881 kill_half_et250
21 1.082 kill_half_et250
21 0.889 kill_half_et250
21 0.892 kill_half_et250
23 1.0 kill_half_et250
23 0.899 kill_half_et250
23 1.157 kill_half_et250
23 1.203 kill_half_et250
23 1.131 kill_half_et250
23 1.232 kill_half_et250
23 0.915 kill_half_et250
25 1.25 kill_half_et250
25 1.002 kill_half_et250
25 0.948 kill_half_et250
25 1.812 kill_half_et250
25 1.263 kill_half_et250
25 1.126 kill_half_et250
25 1.563 kill_half_et250
27 1.038 kill_half_et250
27 1.267 kill_half_et250
27 1.311 kill_half_et250
27 1.068 kill_half_et250
27 1.047 kill_half_et250
27 1.086 kill_half_et250
27 1.086 kill_half_et250
29 1.182 kill_half_et250
29 1.271 kill_half_et250
29 1.702 kill_half_et250
29 1.135 kill_half_et250
29 1.204 kill_half_et250
29 1.223 kill_half_et250
29 1.712 kill_half_et250
31 1.498 kill_half_et250
31 1.411 kill_half_et250
31 1.746 kill_half_et250
31 1.63 kill_half_et250
31 1.355 kill_half_et250
31 1.428 kill_half_et250
31 1.339 kill_half_et250
33 1.765 kill_half_et250
33 1.524 kill_half_et250
33 1.726 kill_half_et250
33 1.775 kill_half_et250
33 3.913 kill_half_et250
33 1.792 kill_half_et250
33 1.458 kill_half_et250
35 1.487 kill_half_et250
35 1.592 kill_half_et250
