nodes time label
3 1.005 kl
3 0.503 kl
3 0.503 kl
3 0.502 kl
3 1.005 kl
3 0.503 kl
3 0.502 kl
5 0.504 kl
5 0.503 kl
5 0.503 kl
5 0.503 kl
5 0.504 kl
5 0.505 kl
5 0.508 kl
7 1.008 kl
7 0.505 kl
7 0.507 kl
7 0.507 kl
7 0.511 kl
7 0.505 kl
7 0.508 kl
9 0.507 kl
9 0.506 kl
9 0.508 kl
9 0.506 kl
9 0.507 kl
9 0.506 kl
9 0.506 kl
11 0.506 kl
11 0.507 kl
11 0.508 kl
11 0.506 kl
11 0.505 kl
11 0.508 kl
11 0.510 kl
13 0.507 kl
13 0.508 kl
13 0.508 kl
13 1.079 kl
13 1.056 kl
13 0.507 kl
13 1.083 kl
15 4.941 kl
15 7.070 kl
15 5.993 kl
15 5.344 kl
15 1.049 kl
15 1.543 kl
17 0.0 kl_fail
17 0.0 kl_fail
17 0.0 kl_fail
17 0.0 kl_fail
17 0.0 kl_fail
19 0.0 kl_fail
19 0.0 kl_fail
19 0.0 kl_fail
21 0.0 kl_fail
