nodes time label
3 1.332 kill_1_et1000
3 1.234 kill_1_et1000
3 1.748 kill_1_et1000
3 1.338 kill_1_et1000
3 1.643 kill_1_et1000
3 1.648 kill_1_et1000
3 1.237 kill_1_et1000
5 1.238 kill_1_et1000
5 1.238 kill_1_et1000
5 1.031 kill_1_et1000
5 1.338 kill_1_et1000
5 1.141 kill_1_et1000
5 1.032 kill_1_et1000
5 1.137 kill_1_et1000
7 1.148 kill_1_et1000
7 1.458 kill_1_et1000
7 1.352 kill_1_et1000
7 1.251 kill_1_et1000
7 1.458 kill_1_et1000
7 1.044 kill_1_et1000
7 1.25 kill_1_et1000
9 1.256 kill_1_et1000
9 1.148 kill_1_et1000
9 1.051 kill_1_et1000
9 1.359 kill_1_et1000
9 1.155 kill_1_et1000
9 1.046 kill_1_et1000
9 1.05 kill_1_et1000
11 1.161 kill_1_et1000
11 1.067 kill_1_et1000
11 1.057 kill_1_et1000
11 1.168 kill_1_et1000
11 1.162 kill_1_et1000
11 1.264 kill_1_et1000
11 1.062 kill_1_et1000
13 1.175 kill_1_et1000
13 1.287 kill_1_et1000
13 1.291 kill_1_et1000
13 1.179 kill_1_et1000
13 1.07 kill_1_et1000
13 1.073 kill_1_et1000
13 1.171 kill_1_et1000
15 1.184 kill_1_et1000
15 1.075 kill_1_et1000
15 1.075 kill_1_et1000
15 1.083 kill_1_et1000
15 1.179 kill_1_et1000
15 1.081 kill_1_et1000
15 1.186 kill_1_et1000
17 1.196 kill_1_et1000
17 1.193 kill_1_et1000
17 1.185 kill_1_et1000
17 1.183 kill_1_et1000
17 1.295 kill_1_et1000
17 1.407 kill_1_et1000
17 1.096 kill_1_et1000
19 1.32 kill_1_et1000
19 1.269 kill_1_et1000
19 1.204 kill_1_et1000
19 1.204 kill_1_et1000
19 1.206 kill_1_et1000
19 1.192 kill_1_et1000
19 1.205 kill_1_et1000
21 1.109 kill_1_et1000
21 1.124 kill_1_et1000
21 1.236 kill_1_et1000
21 1.103 kill_1_et1000
21 1.213 kill_1_et1000
21 1.105 kill_1_et1000
21 1.114 kill_1_et1000
23 1.133 kill_1_et1000
23 1.24 kill_1_et1000
23 1.119 kill_1_et1000
23 0.998 kill_1_et1000
23 1.153 kill_1_et1000
23 1.123 kill_1_et1000
23 1.224 kill_1_et1000
25 1.248 kill_1_et1000
25 1.121 kill_1_et1000
25 1.481 kill_1_et1000
25 1.244 kill_1_et1000
25 1.033 kill_1_et1000
25 1.143 kill_1_et1000
25 1.258 kill_1_et1000
27 1.313 kill_1_et1000
27 1.159 kill_1_et1000
27 1.212 kill_1_et1000
27 1.134 kill_1_et1000
27 1.244 kill_1_et1000
27 1.168 kill_1_et1000
27 1.142 kill_1_et1000
29 1.403 kill_1_et1000
29 1.186 kill_1_et1000
29 1.184 kill_1_et1000
29 1.258 kill_1_et1000
29 1.192 kill_1_et1000
29 1.287 kill_1_et1000
29 1.288 kill_1_et1000
31 1.294 kill_1_et1000
31 1.219 kill_1_et1000
31 1.075 kill_1_et1000
31 1.159 kill_1_et1000
31 1.399 kill_1_et1000
31 1.072 kill_1_et1000
31 1.432 kill_1_et1000
