node time label
3 1.648 kl_average
5 1.652 kl_average
7 1.662 kl_average
9 1.449 kl_average
11 1.523 kl_average
13 1.536 kl_average
15 1.558 kl_average
17 1.697 kl_average
19 1.900 kl_average
21 2.167 kl_average

