nodes time label
1 0.056 propagate_1_et1000
1 0.057 propagate_1_et1000
1 0.111 propagate_1_et1000
1 0.11 propagate_1_et1000
1 0.059 propagate_1_et1000
1 0.111 propagate_1_et1000
1 0.11 propagate_1_et1000
3 0.28 propagate_1_et1000
3 0.277 propagate_1_et1000
3 0.327 propagate_1_et1000
3 0.277 propagate_1_et1000
3 0.277 propagate_1_et1000
3 0.331 propagate_1_et1000
3 0.327 propagate_1_et1000
5 0.277 propagate_1_et1000
5 0.279 propagate_1_et1000
5 0.281 propagate_1_et1000
5 0.227 propagate_1_et1000
5 0.281 propagate_1_et1000
5 0.231 propagate_1_et1000
5 0.278 propagate_1_et1000
7 0.289 propagate_1_et1000
7 0.342 propagate_1_et1000
7 0.34 propagate_1_et1000
7 0.288 propagate_1_et1000
7 0.34 propagate_1_et1000
7 0.29 propagate_1_et1000
7 0.342 propagate_1_et1000
9 0.29 propagate_1_et1000
9 0.349 propagate_1_et1000
9 0.297 propagate_1_et1000
9 0.298 propagate_1_et1000
9 0.348 propagate_1_et1000
9 0.344 propagate_1_et1000
9 0.345 propagate_1_et1000
11 0.356 propagate_1_et1000
11 0.293 propagate_1_et1000
11 0.295 propagate_1_et1000
11 0.242 propagate_1_et1000
11 0.298 propagate_1_et1000
11 0.231 propagate_1_et1000
11 0.248 propagate_1_et1000
13 0.309 propagate_1_et1000
13 0.302 propagate_1_et1000
13 0.297 propagate_1_et1000
13 0.303 propagate_1_et1000
13 0.302 propagate_1_et1000
13 0.292 propagate_1_et1000
13 0.297 propagate_1_et1000
15 0.308 propagate_1_et1000
15 0.258 propagate_1_et1000
15 0.373 propagate_1_et1000
15 0.365 propagate_1_et1000
15 0.366 propagate_1_et1000
15 0.254 propagate_1_et1000
15 0.313 propagate_1_et1000
17 0.266 propagate_1_et1000
17 0.376 propagate_1_et1000
17 0.312 propagate_1_et1000
17 0.375 propagate_1_et1000
17 0.382 propagate_1_et1000
17 0.324 propagate_1_et1000
17 0.26 propagate_1_et1000
19 0.382 propagate_1_et1000
19 0.259 propagate_1_et1000
19 0.324 propagate_1_et1000
19 0.379 propagate_1_et1000
19 0.398 propagate_1_et1000
19 0.329 propagate_1_et1000
19 0.385 propagate_1_et1000
21 0.336 propagate_1_et1000
21 0.329 propagate_1_et1000
21 0.33 propagate_1_et1000
21 0.321 propagate_1_et1000
21 0.333 propagate_1_et1000
21 0.344 propagate_1_et1000
21 0.328 propagate_1_et1000
23 0.347 propagate_1_et1000
23 0.41 propagate_1_et1000
23 0.401 propagate_1_et1000
23 0.418 propagate_1_et1000
23 0.335 propagate_1_et1000
23 0.336 propagate_1_et1000
23 0.349 propagate_1_et1000
25 0.297 propagate_1_et1000
25 0.411 propagate_1_et1000
25 0.405 propagate_1_et1000
25 0.291 propagate_1_et1000
25 0.282 propagate_1_et1000
25 0.349 propagate_1_et1000
25 0.342 propagate_1_et1000
27 0.333 propagate_1_et1000
27 0.299 propagate_1_et1000
27 0.37 propagate_1_et1000
27 0.359 propagate_1_et1000
27 0.351 propagate_1_et1000
27 0.298 propagate_1_et1000
27 0.364 propagate_1_et1000
29 0.433 propagate_1_et1000
29 0.449 propagate_1_et1000
29 0.399 propagate_1_et1000
29 0.378 propagate_1_et1000
29 0.463 propagate_1_et1000
29 0.385 propagate_1_et1000
29 0.308 propagate_1_et1000
31 0.413 propagate_1_et1000
31 0.328 propagate_1_et1000
31 0.394 propagate_1_et1000
31 0.396 propagate_1_et1000
31 0.343 propagate_1_et1000
31 0.475 propagate_1_et1000
31 0.401 propagate_1_et1000
