nodes time label
27 8.535 start_et1000
29 9.087 start_et1000
31 9.831 start_et1000
3 1.05 start_et1000
3 1.054 start_et1000
3 1.044 start_et1000
3 1.052 start_et1000
3 1.048 start_et1000
3 1.056 start_et1000
3 1.037 start_et1000
5 1.912 start_et1000
5 1.911 start_et1000
5 1.908 start_et1000
5 1.908 start_et1000
5 1.905 start_et1000
5 1.903 start_et1000
5 1.92 start_et1000
7 2.464 start_et1000
7 2.447 start_et1000
7 2.446 start_et1000
7 2.45 start_et1000
7 2.417 start_et1000
7 2.454 start_et1000
7 2.444 start_et1000
9 3.353 start_et1000
9 3.339 start_et1000
9 3.332 start_et1000
9 3.337 start_et1000
9 3.351 start_et1000
9 3.353 start_et1000
9 3.351 start_et1000
11 3.833 start_et1000
11 3.821 start_et1000
11 3.905 start_et1000
11 3.925 start_et1000
11 3.927 start_et1000
11 3.92 start_et1000
11 3.897 start_et1000
13 4.39 start_et1000
13 4.391 start_et1000
13 4.394 start_et1000
13 4.371 start_et1000
13 4.394 start_et1000
13 4.392 start_et1000
13 4.396 start_et1000
15 4.969 start_et1000
15 4.871 start_et1000
15 4.93 start_et1000
15 4.877 start_et1000
15 4.877 start_et1000
15 4.966 start_et1000
15 4.878 start_et1000
17 5.439 start_et1000
17 5.473 start_et1000
17 5.484 start_et1000
17 5.462 start_et1000
17 5.429 start_et1000
17 5.449 start_et1000
17 5.456 start_et1000
19 6.009 start_et1000
19 5.946 start_et1000
19 5.891 start_et1000
19 5.942 start_et1000
19 6.047 start_et1000
19 5.937 start_et1000
19 5.938 start_et1000
21 6.905 start_et1000
21 6.896 start_et1000
21 6.873 start_et1000
21 6.894 start_et1000
21 6.914 start_et1000
21 6.887 start_et1000
21 6.918 start_et1000
23 7.518 start_et1000
25 7.975 start_et1000
27 8.584 start_et1000
29 9.211 start_et1000
31 9.666 start_et1000
