node time label
3 2.802 et500_average
5 4.833 et500_average
7 7.369 et500_average
9 11.808 et500_average
11 15.839 et500_average
13 20.985 et500_average
15 27.280 et500_average
17 34.328 et500_average
19 45.213 et500_average
21 55.303 et500_average
