node time label
3 1.576 kh_average
5 1.793 kh_average
7 1.870 kh_average
9 2.086 kh_average
11 1.873 kh_average
13 2.169 kh_average
15 1.954 kh_average
17 2.030 kh_average
19 2.402 kh_average
21 2.196 kh_average

