nodes time label
3 1.003 kh
3 0.503 kh
3 0.502 kh
3 1.004 kh
3 0.503 kh
3 0.503 kh
3 1.004 kh
5 1.005 kh
5 1.004 kh
5 0.503 kh
5 1.008 kh
5 1.006 kh
5 0.503 kh
5 0.504 kh
7 1.006 kh
7 1.007 kh
7 0.504 kh
7 0.503 kh
7 1.007 kh
7 1.004 kh
7 1.007 kh
9 1.009 kh
9 1.010 kh
9 1.007 kh
9 0.503 kh
9 1.006 kh
9 1.011 kh
9 1.010 kh
11 1.007 kh
11 1.013 kh
11 1.007 kh
11 1.007 kh
11 1.011 kh
11 1.009 kh
11 1.007 kh
13 1.014 kh
13 1.022 kh
13 1.010 kh
13 1.513 kh
13 1.512 kh
13 1.528 kh
13 1.010 kh
15 1.520 kh
15 1.011 kh
15 1.520 kh
15 1.007 kh
15 1.518 kh
15 1.517 kh
15 1.518 kh
17 1.050 kh
17 2.069 kh
17 1.515 kh
17 1.540 kh
17 2.022 kh
17 1.529 kh
19 1.554 kh
19 1.531 kh
19 1.571 kh
19 2.055 kh
19 2.064 kh
21 0.0 kh_average
