nodes time label
3 3.593 et1000_average
5 5.291 et1000_average
7 7.679 et1000_average
9 11.204 et1000_average
11 15.282 et1000_average
13 20.230 et1000_average
15 26.724 et1000_average
17 35.990 et1000_average
19 44.398 et1000_average
21 55.671 et1000_average
