nodes time label
3 0.722 kill_half_et500
3 0.722 kill_half_et500
3 0.821 kill_half_et500
3 0.512 kill_half_et500
3 0.615 kill_half_et500
3 0.619 kill_half_et500
3 0.724 kill_half_et500
5 0.617 kill_half_et500
5 0.616 kill_half_et500
5 1.135 kill_half_et500
5 0.719 kill_half_et500
5 1.338 kill_half_et500
5 0.822 kill_half_et500
5 0.823 kill_half_et500
7 1.033 kill_half_et500
7 0.836 kill_half_et500
7 0.935 kill_half_et500
7 0.728 kill_half_et500
7 0.829 kill_half_et500
7 1.341 kill_half_et500
7 0.929 kill_half_et500
9 0.826 kill_half_et500
9 0.934 kill_half_et500
9 0.834 kill_half_et500
9 0.832 kill_half_et500
9 0.828 kill_half_et500
9 0.722 kill_half_et500
9 0.831 kill_half_et500
11 1.041 kill_half_et500
11 0.83 kill_half_et500
11 0.935 kill_half_et500
11 0.838 kill_half_et500
11 0.938 kill_half_et500
11 0.728 kill_half_et500
11 0.834 kill_half_et500
13 0.945 kill_half_et500
13 0.838 kill_half_et500
13 0.85 kill_half_et500
13 0.838 kill_half_et500
13 0.949 kill_half_et500
13 0.868 kill_half_et500
13 1.054 kill_half_et500
15 0.844 kill_half_et500
15 0.943 kill_half_et500
15 0.847 kill_half_et500
15 0.949 kill_half_et500
15 1.053 kill_half_et500
15 0.946 kill_half_et500
15 1.062 kill_half_et500
17 0.96 kill_half_et500
17 1.064 kill_half_et500
17 1.687 kill_half_et500
17 0.986 kill_half_et500
17 0.91 kill_half_et500
17 0.973 kill_half_et500
17 1.52 kill_half_et500
19 0.992 kill_half_et500
19 0.966 kill_half_et500
19 0.96 kill_half_et500
19 0.972 kill_half_et500
19 1.079 kill_half_et500
19 0.977 kill_half_et500
19 1.182 kill_half_et500
21 1.081 kill_half_et500
21 1.104 kill_half_et500
21 0.985 kill_half_et500
21 1.093 kill_half_et500
21 1.104 kill_half_et500
21 1.063 kill_half_et500
21 1.136 kill_half_et500
23 1.112 kill_half_et500
23 1.082 kill_half_et500
23 1.104 kill_half_et500
23 1.106 kill_half_et500
23 1.667 kill_half_et500
23 1.206 kill_half_et500
23 1.116 kill_half_et500
25 1.752 kill_half_et500
25 1.129 kill_half_et500
25 1.211 kill_half_et500
25 1.244 kill_half_et500
25 1.139 kill_half_et500
25 1.143 kill_half_et500
25 1.223 kill_half_et500
27 1.288 kill_half_et500
27 1.246 kill_half_et500
27 1.259 kill_half_et500
27 1.271 kill_half_et500
27 1.799 kill_half_et500
27 1.288 kill_half_et500
27 1.917 kill_half_et500
29 1.284 kill_half_et500
29 1.245 kill_half_et500
29 1.812 kill_half_et500
29 1.315 kill_half_et500
29 1.8 kill_half_et500
29 1.278 kill_half_et500
29 1.281 kill_half_et500
31 1.487 kill_half_et500
31 1.811 kill_half_et500
31 1.908 kill_half_et500
31 2.354 kill_half_et500
31 1.521 kill_half_et500
31 1.422 kill_half_et500
31 1.665 kill_half_et500
33 1.922 kill_half_et500
33 2.106 kill_half_et500
33 1.433 kill_half_et500
33 1.682 kill_half_et500
33 1.998 kill_half_et500
33 1.497 kill_half_et500
33 1.996 kill_half_et500
35 2.049 kill_half_et500
35 2.449 kill_half_et500
35 2.015 kill_half_et500
35 2.001 kill_half_et500
35 2.01 kill_half_et500
35 1.586 kill_half_et500
35 1.664 kill_half_et500
