nodes time label
1 0.071 propagate_average
3 0.248 propagate_average
5 0.266 propagate_average
7 0.294 propagate_average
9 0.294 propagate_average
11 0.298 propagate_average
13 0.351 propagate_average
15 0.390 propagate_average
17 0.413 propagate_average
19 0.451 propagate_average
21 0.484 propagate_average
