node time label
3 2.401 et100
3 2.243 et100
3 2.092 et100
3 2.323 et100
3 3.235 et100
3 2.258 et100
3 3.430 et100
5 4.155 et100
5 5.596 et100
5 4.695 et100
5 5.708 et100
5 3.998 et100
5 4.659 et100
5 4.039 et100
7 6.912 et100
7 6.512 et100
7 6.481 et100
7 7.517 et100
7 6.931 et100
7 6.589 et100
7 6.454 et100
9 9.920 et100
9 10.084 et100
9 10.717 et100
9 11.344 et100
9 10.174 et100
9 10.481 et100
9 10.126 et100
11 13.935 et100
11 14.315 et100
11 14.704 et100
11 13.706 et100
11 14.415 et100
11 14.588 et100
11 14.692 et100
13 20.457 et100
13 19.358 et100
13 19.658 et100
13 19.300 et100
13 19.307 et100
13 18.619 et100
13 19.006 et100
15 26.183 et100
15 26.136 et100
15 25.779 et100
15 25.581 et100
15 25.400 et100
15 27.005 et100
15 25.029 et100
17 0.0 et100_fail
17 34.396 et100
17 43.994 et100
17 34.610 et100
17 35.599 et100
17 33.879 et100
17 34.254 et100
19 58.478 et100
19 0.0 et100_fail
19 44.855 et100
19 43.628 et100
19 0.0 et100_fail
19 43.817 et100
19 44.071 et100
21 0.0 et100_fail
21 0.0 et100_fail
21 0.0 et100_fail
21 0.0 et100_fail
21 0.0 et100_fail
21 0.0 et100_fail
21 0.0 et100_fail
