nodes time label
3 0.717 kh_average
5 0.790 kh_average
7 0.862 kh_average
9 0.936 kh_average
11 1.008 kh_average
13 1.229 kh_average
15 1.373 kh_average
17 1.620 kh_average
19 1.755 kh_average
