nodes time label
3 0.823 kill_1_et250
3 0.31 kill_1_et250
3 0.311 kill_1_et250
3 0.31 kill_1_et250
3 0.31 kill_1_et250
3 0.411 kill_1_et250
3 0.412 kill_1_et250
5 0.422 kill_1_et250
5 0.319 kill_1_et250
5 0.42 kill_1_et250
5 0.318 kill_1_et250
5 0.316 kill_1_et250
5 0.418 kill_1_et250
5 0.315 kill_1_et250
7 0.42 kill_1_et250
7 0.316 kill_1_et250
7 0.417 kill_1_et250
7 0.419 kill_1_et250
7 0.417 kill_1_et250
7 0.418 kill_1_et250
7 0.316 kill_1_et250
9 0.421 kill_1_et250
9 0.424 kill_1_et250
9 0.425 kill_1_et250
9 0.421 kill_1_et250
9 0.423 kill_1_et250
9 0.425 kill_1_et250
9 0.422 kill_1_et250
11 0.432 kill_1_et250
11 0.331 kill_1_et250
11 0.327 kill_1_et250
11 0.33 kill_1_et250
11 0.428 kill_1_et250
11 0.326 kill_1_et250
11 0.438 kill_1_et250
13 0.323 kill_1_et250
13 0.326 kill_1_et250
13 0.325 kill_1_et250
13 0.325 kill_1_et250
13 0.432 kill_1_et250
13 0.328 kill_1_et250
13 0.322 kill_1_et250
15 0.436 kill_1_et250
15 0.33 kill_1_et250
15 0.331 kill_1_et250
15 0.44 kill_1_et250
15 0.435 kill_1_et250
15 0.329 kill_1_et250
15 0.435 kill_1_et250
17 0.329 kill_1_et250
17 0.453 kill_1_et250
17 0.44 kill_1_et250
17 0.447 kill_1_et250
17 0.446 kill_1_et250
17 0.341 kill_1_et250
17 0.339 kill_1_et250
19 0.456 kill_1_et250
19 0.451 kill_1_et250
19 0.449 kill_1_et250
19 0.443 kill_1_et250
19 0.443 kill_1_et250
19 0.442 kill_1_et250
19 0.441 kill_1_et250
21 0.341 kill_1_et250
21 0.339 kill_1_et250
21 0.357 kill_1_et250
21 0.463 kill_1_et250
21 0.339 kill_1_et250
21 0.337 kill_1_et250
21 0.338 kill_1_et250
23 0.455 kill_1_et250
23 0.456 kill_1_et250
23 0.354 kill_1_et250
23 0.459 kill_1_et250
23 0.347 kill_1_et250
23 0.347 kill_1_et250
23 0.462 kill_1_et250
25 0.463 kill_1_et250
25 0.465 kill_1_et250
25 0.473 kill_1_et250
25 0.349 kill_1_et250
25 0.487 kill_1_et250
25 0.351 kill_1_et250
25 0.461 kill_1_et250
27 0.552 kill_1_et250
27 0.476 kill_1_et250
27 0.482 kill_1_et250
27 0.494 kill_1_et250
27 0.374 kill_1_et250
27 0.476 kill_1_et250
27 0.415 kill_1_et250
29 0.493 kill_1_et250
29 0.505 kill_1_et250
29 0.492 kill_1_et250
29 0.414 kill_1_et250
29 0.492 kill_1_et250
29 0.398 kill_1_et250
29 0.488 kill_1_et250
31 0.544 kill_1_et250
31 0.499 kill_1_et250
31 0.52 kill_1_et250
31 0.498 kill_1_et250
31 0.526 kill_1_et250
31 0.529 kill_1_et250
31 0.507 kill_1_et250
33 0.693 kill_1_et250
33 0.567 kill_1_et250
33 0.543 kill_1_et250
33 0.624 kill_1_et250
33 0.558 kill_1_et250
33 0.556 kill_1_et250
33 0.508 kill_1_et250
35 0.586 kill_1_et250
35 0.57 kill_1_et250
35 0.558 kill_1_et250
35 0.587 kill_1_et250
35 0.534 kill_1_et250
35 0.523 kill_1_et250
35 0.573 kill_1_et250
