node time label
3 2.568 et100_average
5 4.692 et100_average
7 6.770 et100_average
9 10.406 et100_average
11 14.336 et100_average
13 19.386 et100_average
15 25.873 et100_average
17 36.121 et100_average
19 46.969 et100_average
